2025-01-11 14:30:36.312 [restartedMain] INFO  com.lion.tourism.BackendApplication - Starting BackendApplication using Java 1.8.0_202 on DESKTOP-JEIL9FJ with PID 19792 (D:\Desktop\旅游推荐系统\旅游推荐系统\源代码\backend-Api\target\classes started by 23734 in D:\Desktop\旅游推荐系统\旅游推荐系统\源代码\backend-Api)
2025-01-11 14:30:36.317 [restartedMain] INFO  com.lion.tourism.BackendApplication - The following profiles are active: dev
2025-01-11 14:30:36.366 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-11 14:30:36.366 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-11 14:30:36.891 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-01-11 14:30:36.893 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-01-11 14:30:36.921 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2025-01-11 14:30:37.366 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-01-11 14:30:37.373 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-01-11 14:30:37.374 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-11 14:30:37.374 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2025-01-11 14:30:37.430 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-11 14:30:37.430 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1062 ms
2025-01-11 14:30:37.721 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-01-11 14:30:38.411 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
